"ID","nwCongoID","tsID","SITE","CODE","FEAT","IND","VU","POTTERY","PROV","Xray","TYPE","BOX","FABRIC","SUBGRP","SurfSponges","NOTES","RIVER","GROUP","REFERENCE"
"65","205","1","Likwala-Esobe km 186","LKW","87/186-1","3, 13","","","","x","W","","2","2a/1b (?)","x","","Likwala-aux-Herbes","",""
"80","337","2","Munda","MUN","87/2-1-1","-4:2","3","Pikunda-Munda","","x","W","","1","1b","xx","","Likwala-aux-Herbes","",""
"79","333","3","Munda","MUN","87/2-1-1","-2:2","7","Pikunda-Munda","","x","W","","1","1b","xx","","Likwala-aux-Herbes","",""
"17","639","4","Pikunda","PIK","87/1","-5:1 -6:10 -7:12 - 9:6","17","Pikunda-Munda","","","W","","2","2a/1d (?)","x","","Sangha","A","Seidensticker 2021: 427 Pl. 46.21"
"90","671","5","Pikunda","PIK","87/1","-8:1","","Ngbanja","","","W","","4","4a","o","","Sangha","","Seidensticker 2021: 428 Pl. 47.20"
"92","695","6","Pikunda","PIK","87/1","-9:7","","Ngbanja (?)","","","W","","4","4c","o","","Sangha","","Seidensticker 2021: 428 Pl. 47.19"
"61","99","7","Dongo","DON","85/102","123","","Batalimo-Maluba","","","W","","5","5b","(x)","","Ubangi","",""
"77","322","8","Motenge-Boma","MTB","85/101","65, 101","","Batalimo-Maluba","","","W","","5","5a","","","Ubangi","",""
"93","822","9","Pikunda","PIK","87/2","-6:77","","Mandombe (?)","","","B","","3","3a","o","Inside red fine slip!","Sangha","",""
"40","2809","10","Pikunda","PIK","87/1","-2:123 -3:8","","Mandombe","","","R","","3","3c","o","","Sangha","B",""
"36","496","11","Pikunda","PIK","87/1","-1:35","","Mandombe","","","W","","3","3b","o","Rough slip","Sangha","B",""
"71","1238","12","Molanda","MLD","87/103","12","","Konda","","","W","","4","4b/7d (?)","o","","Sangha","",""
"70","264","13","Mokelo","MKL","85/101","95","","Mokelo","","","R","","3","3b","o","","Ubangi","",""
"75","315","14","Motenge-Boma","MTB","85/101","40","","Motenge-Boma","","","R","","5","5a","","","Ubangi","",""
"85","1329","15","Pandama","PDM","87/101","2","","Pandama","","","W","","4","4b","(x)","","Ngoko","",""
"86","3043","16","Pandama","PDM","87/101","54, 83","","Pandama","","","W","","4","4a","(x)","","Ngoko","",""
"78","1519","17","Munda","MUN","87/1-0-2","-6:1","1","Ebambe","","","W","","1","1c","x","","Likwala-aux-Herbes","",""
"82","1344","18","Ngombe/NGL","NGL","87/101","46","","","","","","","9","9b","(x)","Ceramic trilobate brazier","Likwala-aux-Herbes","",""
"96","839","19","Sungu","SUN","87/101","87","","Bobusa","","","W","","9","9b","x","","Congo","",""
"95","836","20","Sungu","SUN","87/101","72","","Bobusa","","","W","","9","9a","(x)","","Congo","",""
"62","163","21","Itanga","ITN","87/103","11","6","Epena","","","W","","1","1c","xx","","Likwala-aux-Herbes","",""
"72","302","22","Mondoli","MND","85/101","21","","Motenge-Boma (?)","","","R","","7","7e","o","","Ubangi","",""
"97","852","23","Zama","ZAM","85/101","14","","Mbandaka","","","W","","1","1b","x","","Ubangi","",""
"83","465","24","Nzambi","NZA","85/101","11","","Motenge-Boma","","","W","","3","3a","o","","Ubangi","",""
"67","1160","25","Mbati-Ngombe","MBN","85/101","30","","Mbati-Ngombe","x","","R","","4","4a","o","","Ubangi","",""
"99","","26","Bwambé-Sommet (Est)","BWS","","","","Bwambé/Mpoengu","","","","","","","","","","",""
"100","","27","Bwambé-Sommet (Est)","BWS","","","","Bwambé/Mpoengu","","","","","","","","","","",""
